run_id,q,g,L,omega,center_ldos,edge_ldos,local_difference,G_1L_abs,G_L1_abs,stripped_1L_abs,covariance_error
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.87,0.0002700513039164,0.0002107279744961,2.1684043449710093e-19,1.9881539673863183e-53,1.0854952860034756e-51,1.4690581198329045e-52,3.617549016755574e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.86,0.0002712982327271,0.0002115597757871,2.775578737305794e-17,2.477409031299446e-53,1.35261949984353e-51,1.8305714312269045e-52,3.998545999115879e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.85,0.0002725543465806,0.0002123968070483,2.7755575615628914e-17,3.0890960382420787e-53,1.6865892896273102e-51,2.282550392155514e-52,3.691392666974058e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.84,0.000273819740219,0.0002132391148107,2.7758963540648015e-17,3.854366539147036e-53,2.1044128258707713e-51,2.848013058359863e-52,3.476672772611152e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.83,0.0002750945096547,0.0002140867461524,5.551792708129603e-17,4.8124303770174445e-53,2.6274979574845698e-51,3.555931802797987e-52,3.643522983812135e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.82,0.0002763787521912,0.0002149397487062,1.1102314949223176e-16,6.012674726295141e-53,3.2828091680675765e-51,4.442799085721729e-52,4.2685969933094774e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.81,0.0002776725664451,0.0002157981706686,8.32673621191738e-17,7.517349532428567e-53,4.104333776231232e-51,5.5546117410384785e-52,3.793395110728766e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.8,0.0002789760523676,0.0002166620608074,2.776319786554118e-17,9.404973221336933e-53,5.1349413899625416e-51,6.94938747413991e-52,4.4238514937960213e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.79,0.000280289311267,0.0002175314684709,1.0842021724855044e-19,1.1774655028659264e-52,6.428743818432527e-51,8.700358655231919e-52,3.5271336940642324e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.78,0.0002816124458318,0.0002184064435963,5.551125711027526e-17,1.475158469629836e-52,8.054092344751245e-51,1.0900028686907544e-51,3.632685181222662e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.77,0.000282945560154,0.0002192870367187,2.7755575615628914e-17,1.84940099958851e-52,1.0097387324698007e-50,1.3665327735377922e-51,3.574337711839431e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.76,0.0002842887597526,0.0002201732989799,2.775578737305794e-17,2.3202111946279925e-52,1.2667923891287945e-50,1.7144170678473138e-51,3.686680918669273e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.75,0.000285642151598,0.0002210652821379,2.775578737305794e-17,2.912930234917631e-52,1.5904060200211284e-50,2.1523804918077617e-51,3.2826935104957463e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.74,0.0002870058441372,0.0002219630385762,2.7755575615628914e-17,3.659661567661337e-52,1.9981075134170798e-50,2.7041444626550105e-51,4.0046856998607694e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.73,0.0002883799473183,0.000222866621313,5.551125711027526e-17,4.601105684795322e-52,2.51211858496809e-50,3.3997828022061365e-51,4.005238870537678e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.72,0.0002897645726173,0.0002237760840116,2.7756422635651865e-17,5.7889010246538416e-52,3.160632866710736e-50,4.277451442232437e-51,3.8821936564461487e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.71,0.0002911598330635,0.0002246914809896,5.55121041351447e-17,7.288612926451907e-52,3.9794478209193475e-50,5.385596979694424e-51,3.96975231434148e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.7,0.000292565843267,0.0002256128672294,5.551379814611213e-17,9.183553022532803e-52,5.014050057615815e-50,6.785778847099906e-51,3.94906914969461e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.69,0.000293982719446,0.0002265402983885,2.776319786554118e-17,1.1579663630244676e-51,6.322282122174449e-50,8.556278417062484e-51,3.9804365340019333e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.68,0.0002954105794548,0.0002274738308096,1.6653631240543415e-16,1.4611769054091778e-51,7.977755590649609e-50,1.0796718124530298e-50,3.5429937042046313e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.67,0.0002968495428125,0.0002284135215318,8.327018549292389e-17,1.845158271313719e-51,1.0074222813208342e-49,1.3633977978142972e-50,3.5038500159803436e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.66,0.0002982997307321,0.0002293594283011,2.775578737305794e-17,2.33179714987237e-51,1.2731181063558929e-49,1.722977995173354e-50,3.962600077972054e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.65,0.0002997612661506,0.0002303116095814,5.551284527130373e-17,2.949012433113982e-51,1.6101062327276411e-49,2.1790418304723185e-50,4.1596454683225614e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.64,0.0003012342737591,0.0002312701245664,8.326849148016164e-17,3.732446040448215e-51,2.037846489070071e-49,2.757925317910344e-50,3.385079305777171e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.63,0.0003027188800343,0.0002322350331903,5.551284527130373e-17,4.727635697195251e-51,2.58120163097516e-49,3.4932765381882825e-50,3.8994427247293083e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.62,0.0003042152132702,0.0002332063961401,1.0842021724855044e-19,5.992809354289375e-51,3.2719630424551876e-49,4.428120450904055e-50,4.137523165267638e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.61,0.0003057234036106,0.0002341842748675,5.551284527130373e-17,7.602482099683568e-51,4.1508145830281e-49,5.617516672567797e-50,3.1956959266739398e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.6,0.000307243583082,0.0002351687316008,8.326926790695561e-17,9.65208990734516e-51,5.2698625289462216e-49,7.131983379729573e-50,3.6055763478172837e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.59,0.000308775885628,0.0002361598293577,5.551633906564337e-17,1.2263964152663404e-50,6.695897548082094e-49,9.06191191193044e-50,3.4706170534115163e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.58,0.0003103204471437,0.0002371576319577,2.775578737305794e-17,1.5595041411801351e-50,8.514604107746172e-49,1.152326358569468e-49,3.69881949117071e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.57,0.000311877405511,0.0002381622040352,1.665369829603233e-16,1.9846821103572812e-50,1.0835997162938288e-48,1.4664927451974022e-49,3.398979886155267e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.56,0.0003134469006349,0.0002391736110525,2.7755575615628914e-17,2.527823748351707e-50,1.380145002698517e-48,1.8678231484779915e-49,3.2050468404257453e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.55,0.0003150290744807,0.0002401919193136,1.387821131782593e-16,3.222231346745868e-50,1.7592787051112968e-48,2.380924818483808e-49,3.371508716651374e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.54,0.0003166240711113,0.0002412171959775,2.7756422635651865e-17,4.11077263446107e-50,2.244405810484451e-48,3.037472960598178e-49,3.2537130650277003e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.53,0.0003182320367263,0.0002422495090724,2.7758963540648015e-17,5.248675884494643e-50,2.8656799341698215e-48,3.8782760555635356e-49,3.4579864251435615e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.52,0.0003198531197013,0.00024328892751,2.7755575615628914e-17,6.7071558545739495e-50,3.6619830164370465e-48,4.955955087371807e-49,3.5530130525574647e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.51,0.0003214874706284,0.0002443355210998,5.551115123125783e-17,8.578121757923504e-50,4.6834957874168117e-48,6.338422289275438e-49,3.407775620543245e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.5,0.0003231352423573,0.0002453893605643,2.7755575615628914e-17,1.0980295702971063e-49,5.995038321991023e-48,8.113402093210035e-49,3.377085012823197e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.49,0.0003247965900376,0.0002464505175539,0.0,1.406717143857372e-49,7.680415367452027e-48,1.0394311891289619e-48,4.0726475588507863e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.48,0.0003264716711624,0.0002475190646626,8.326785621649077e-17,1.8037376475555287e-49,9.848073870166654e-48,1.3327918665541003e-48,3.5324633484408444e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.47,0.0003281606456116,0.0002485950754434,1.1102420827028943e-16,2.3148175891005807e-49,1.2638475802907388e-47,1.710431702465559e-48,3.40958938710045e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.46,0.000329863675698,0.0002496786244247,8.326926790695561e-17,2.9733086824141778e-49,1.623371535372989e-47,2.196994465379594e-48,3.3351380112867455e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.45,0.000331580926213,0.0002507697871267,0.0,3.8224876696491056e-49,2.0870075528734552e-47,2.824457582850793e-48,4.004738482049579e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.4399999999999995,0.000333312564474,0.000251868640078,5.551284527130373e-17,4.9185619234345415e-49,2.6854438184299067e-47,3.6343529978322077e-48,3.4750074530719396e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.43,0.0003350587603729,0.0002529752608328,0.0,6.334601192767215e-49,3.4585750632283824e-47,4.6806723577709957e-48,3.4898296175500273e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.42,0.0003368196864255,0.0002540897279886,8.326672684688674e-17,8.165685851089788e-49,4.458313412213256e-47,6.033671083994672e-48,3.498908105879479e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.41,0.0003385955178221,0.0002552121212038,2.7755575615628914e-17,1.0535654616380442e-48,5.7522725144252805e-47,7.784854299939276e-48,3.324168274971185e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.4,0.0003403864324798,0.0002563425212157,1.1102759629222426e-16,1.3605957373455502e-48,7.428601020204854e-47,1.0053518231212183e-47,3.455363898894052e-16
green_green_084a8dc87a97,2.0,0.02531645569620253,80,-4.39,0.0003421926110949,0.0002574810098596,8.326672684688674e-17,1.758728135566353e-48,9.602330261316541e-47,1.299534085646749e-47,3.542839857038227e-16
